run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
solar_dust_resnet18_pl_ideal_q4_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,341.89557867124677,0.003272990920736655,0.9,0.904040404040404,0.8999999999999999,0.899749373433584,0.9686111111111111,2026-04-15T06:43:50.861892
solar_dust_resnet18_pl_ideal_q4_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,341.9846876114607,0.003273888504771864,0.9,0.904040404040404,0.8999999999999999,0.899749373433584,0.9686111111111111,2026-04-15T06:43:50.893798
solar_dust_resnet18_pl_ideal_q4_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,343.34234546869993,0.003286944728060332,0.9,0.904040404040404,0.8999999999999999,0.899749373433584,0.9686111111111111,2026-04-15T06:43:51.415265
solar_dust_resnet18_pl_ideal_q4_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,343.48258263990283,0.003288435226916903,0.9,0.904040404040404,0.8999999999999999,0.899749373433584,0.9686111111111111,2026-04-15T06:43:52.033249
solar_dust_resnet18_pl_ideal_q4_d5_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,465.69237315282226,0.0043253389613193225,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9752777777777777,2026-04-15T06:51:52.551618
solar_dust_resnet18_pl_ideal_q4_d5_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,470.7359554730356,0.004373179452927432,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9752777777777777,2026-04-15T06:51:58.091284
solar_dust_resnet18_pl_ideal_q4_d5_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,473.0696185454726,0.00439483650214503,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9752777777777777,2026-04-15T06:51:59.793655
solar_dust_resnet18_pl_ideal_q4_d5_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,472.90802097320557,0.004393877779332659,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9752777777777777,2026-04-15T06:52:00.334271
solar_dust_resnet18_pl_ideal_q8_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,413.28049125894904,0.0038492626214946014,0.8916666666666667,0.8944055944055944,0.8916666666666666,0.8914782608695653,0.955,2026-04-15T06:59:01.278281
solar_dust_resnet18_pl_ideal_q8_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,411.8724614158273,0.003838286890234549,0.8916666666666667,0.8944055944055944,0.8916666666666666,0.8914782608695653,0.955,2026-04-15T06:59:05.302122
solar_dust_resnet18_pl_ideal_q8_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,414.8178940489888,0.003867690658430138,0.8916666666666667,0.8944055944055944,0.8916666666666666,0.8914782608695653,0.955,2026-04-15T06:59:09.873995
solar_dust_resnet18_pl_ideal_q8_d1_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,419.6962021663785,0.003913984562418742,0.8916666666666667,0.8944055944055944,0.8916666666666666,0.8914782608695653,0.955,2026-04-15T06:59:15.260941
solar_dust_resnet18_pl_ideal_q8_d3_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,3,,,4186,10,0.001,16,563.742868822068,0.005143283337343929,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9647222222222221,2026-04-15T07:08:42.062144
solar_dust_resnet18_pl_ideal_q8_d3_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,3,,,4186,10,0.001,16,562.3288777731359,0.00513034768528579,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9647222222222221,2026-04-15T07:08:44.628973
solar_dust_resnet18_pl_ideal_q8_d3_42,ablation,42,solar_dust,resnet18,pl_ideal,pennylane,classification,simulation,8,3,,,4186,10,0.001,16,562.1485161036253,0.005129426493684517,0.875,0.8934712911687555,0.875,0.8735155646124657,0.9647222222222221,2026-04-15T07:08:48.725691
