run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
hymenoptera_resnet18_pl_noisy_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,1,,"amplitude_damping,phase_damping,depolarizing",2070,10,0.001,16,430.7521917971317,0.003927224743628508,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,0.9769281476598549,2026-04-15T06:45:16.652223
hymenoptera_resnet18_pl_noisy_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,1,,"amplitude_damping,phase_damping,depolarizing",2070,10,0.001,16,429.8516757301986,0.003927668381520864,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,1.0,2026-04-15T06:45:16.670620
hymenoptera_resnet18_pl_noisy_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,1,,"amplitude_damping,phase_damping,depolarizing",2070,10,0.001,16,429.76365569606423,0.00392682269910558,0.9743589743589743,0.9743589743589743,0.975609756097561,0.9743421052631579,0.998681608437706,2026-04-15T06:45:17.029706
hymenoptera_resnet18_pl_noisy_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,1,,"amplitude_damping,phase_damping,depolarizing",2070,10,0.001,16,431.03740987181664,0.003939068264750229,0.9487179487179487,0.9508305647840531,0.9472643375082399,0.9484126984126984,0.997363216875412,2026-04-15T06:45:18.122167
hymenoptera_resnet18_pl_noisy_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,1,,"amplitude_damping,phase_damping,depolarizing",2070,10,0.001,16,431.67641849443316,0.003945187422258523,0.9871794871794872,0.9880952380952381,0.9864864864864865,0.9871265885459646,1.0,2026-04-15T06:45:18.653986
hymenoptera_resnet18_pl_noisy_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,5,,"amplitude_damping,phase_damping,depolarizing",2118,10,0.001,16,1510.119685932994,0.013377526434761481,0.47435897435897434,0.23717948717948717,0.5,0.3217391304347826,0.6598549769281475,2026-04-15T07:10:49.005936
hymenoptera_resnet18_pl_noisy_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,5,,"amplitude_damping,phase_damping,depolarizing",2118,10,0.001,16,1515.9903017021716,0.013430041820592018,0.47435897435897434,0.23717948717948717,0.5,0.3217391304347826,0.5497692814765984,2026-04-15T07:10:56.854430
hymenoptera_resnet18_pl_noisy_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,5,,"amplitude_damping,phase_damping,depolarizing",2118,10,0.001,16,1542.0315962396562,0.013665200574724699,0.47435897435897434,0.23717948717948717,0.5,0.3217391304347826,0.6970995385629533,2026-04-15T07:11:21.422409
hymenoptera_resnet18_pl_noisy_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,5,,"amplitude_damping,phase_damping,depolarizing",2118,10,0.001,16,1541.0721638835967,0.013656890165917254,0.47435897435897434,0.23717948717948717,0.5,0.3217391304347826,0.5306526038233355,2026-04-15T07:11:21.786997
hymenoptera_resnet18_pl_noisy_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_noisy,pennylane,classification,emulation,4,5,,"amplitude_damping,phase_damping,depolarizing",2118,10,0.001,16,1550.8922924478538,0.013670920051388055,0.47435897435897434,0.23717948717948717,0.5,0.3217391304347826,0.7429136453526698,2026-04-15T07:11:30.000649
