run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
hymenoptera_resnet18_pl_ideal_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,150.82298265164718,0.00177121566841749,0.9615384615384616,0.9623015873015872,0.9607778510217535,0.961379765637894,0.9967040210942649,2026-04-15T06:40:35.786368
hymenoptera_resnet18_pl_ideal_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,151.0907469089143,0.0017742992738125462,0.9615384615384616,0.9623015873015872,0.9607778510217535,0.961379765637894,0.9967040210942649,2026-04-15T06:40:36.039919
hymenoptera_resnet18_pl_ideal_q4_d1_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,4,1,,,2070,10,0.001,16,150.5093889660202,0.0017674811302439972,0.9615384615384616,0.9623015873015872,0.9607778510217535,0.961379765637894,0.9967040210942649,2026-04-15T06:40:36.085314
hymenoptera_resnet18_pl_ideal_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,250.99293764587492,0.002947750351896935,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,0.996704021094265,2026-04-15T06:44:58.340180
hymenoptera_resnet18_pl_ideal_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,251.4580151331611,0.0029531979506985536,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,0.996704021094265,2026-04-15T06:44:58.957448
hymenoptera_resnet18_pl_ideal_q4_d5_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,4,5,,,2118,10,0.001,16,251.8628082172945,0.0029579831053936846,0.9871794871794872,0.986842105263158,0.9878048780487805,0.9871604938271605,0.996704021094265,2026-04-15T06:44:59.538570
hymenoptera_resnet18_pl_ideal_q8_d1_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,206.8863017000258,0.002420599889055143,0.9615384615384616,0.9623015873015872,0.9607778510217535,0.961379765637894,0.997363216875412,2026-04-15T06:48:36.374732
hymenoptera_resnet18_pl_ideal_q8_d1_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,206.65330295776948,0.0024178800041947425,0.9615384615384616,0.9623015873015872,0.9607778510217535,0.961379765637894,0.997363216875412,2026-04-15T06:48:36.942149
hymenoptera_resnet18_pl_ideal_q8_d1_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,8,1,,,4138,10,0.001,16,206.82969894399866,0.0024199293445928984,0.9615384615384616,0.9623015873015872,0.9607778510217535,0.961379765637894,0.997363216875412,2026-04-15T06:48:37.809907
hymenoptera_resnet18_pl_ideal_q8_d3_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,8,3,,,4186,10,0.001,16,325.14974682824686,0.0038077887129642847,0.9615384615384616,0.9611842105263158,0.9620962425840475,0.9614814814814814,0.9861568885959131,2026-04-15T06:54:13.674726
hymenoptera_resnet18_pl_ideal_q8_d3_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,8,3,,,4186,10,0.001,16,325.08614368597046,0.0038070432609295293,0.9615384615384616,0.9611842105263158,0.9620962425840475,0.9614814814814814,0.9861568885959131,2026-04-15T06:54:14.250914
hymenoptera_resnet18_pl_ideal_q8_d3_42,ablation,42,hymenoptera,resnet18,pl_ideal,pennylane,classification,simulation,8,3,,,4186,10,0.001,16,324.86313178623095,0.003804314407064724,0.9615384615384616,0.9611842105263158,0.9620962425840475,0.9614814814814814,0.9861568885959131,2026-04-15T06:54:15.096047
