run_id,study,seed,dataset,backbone,head,head_type,task_type,environment,n_qubits,depth,shots,noise_channels,n_trainable_params,epochs,lr,batch_size,train_time_s,energy_kwh,test_accuracy,test_precision,test_recall,test_f1,test_auc,timestamp
solar_dust_resnet18_qk_noisy_q4_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,4,1,1024,,2070,10,0.001,16,351.78374780295417,0.003293223546086804,0.5,0.25,0.5,0.3333333333333333,0.6511111111111111,2026-04-15T09:51:55.334618
solar_dust_resnet18_qk_noisy_q4_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,4,1,1024,,2070,10,0.001,16,353.02857351792045,0.0033053592415377905,0.5833333333333334,0.5837053571428572,0.5833333333333334,0.5828698553948832,0.6441666666666667,2026-04-15T09:51:57.076362
solar_dust_resnet18_qk_noisy_q4_d5_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,4,5,1024,,2118,10,0.001,16,435.70778038701974,0.004099599718785743,0.5,0.25,0.5,0.3333333333333333,0.4511111111111111,2026-04-15T09:59:24.802054
solar_dust_resnet18_qk_noisy_q4_d5_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,4,5,1024,,2118,10,0.001,16,435.14833234110847,0.004094831052189908,0.5,0.25,0.5,0.3333333333333333,0.5569444444444445,2026-04-15T09:59:25.879947
solar_dust_resnet18_qk_noisy_q8_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,1,1024,,4138,10,0.001,16,473.9657619202044,0.004407646232885667,0.7583333333333333,0.7589807852965748,0.7583333333333333,0.7581821972065874,0.8527777777777777,2026-04-15T10:07:33.724845
solar_dust_resnet18_qk_noisy_q8_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,1,1024,,4138,10,0.001,16,475.5410418100655,0.004421961635412943,0.575,0.7702702702702703,0.575,0.4813119755911518,0.7633333333333334,2026-04-15T10:07:34.058125
solar_dust_resnet18_qk_noisy_q8_d3_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,3,1024,,4186,10,0.001,16,653.5521310970653,0.005986859885144982,0.5,0.25,0.5,0.3333333333333333,0.5108333333333333,2026-04-15T10:18:41.282798
solar_dust_resnet18_qk_noisy_q8_d3_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,3,1024,,4186,10,0.001,16,663.1461876658723,0.0060764513296044905,0.5,0.25,0.5,0.3333333333333333,0.5272222222222223,2026-04-15T10:18:51.027693
solar_dust_resnet18_qk_noisy_q8_d5_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,5,1024,,4234,10,0.001,16,876.317939504981,0.007955557968774457,0.7166666666666667,0.8027950310559007,0.7166666666666667,0.6949760765550239,0.9052777777777777,2026-04-15T10:33:31.820834
solar_dust_resnet18_qk_noisy_q8_d5_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,8,5,1024,,4234,10,0.001,16,892.0680733041372,0.00810357681241316,0.5,0.25,0.5,0.3333333333333333,0.5952777777777778,2026-04-15T10:33:57.049903
solar_dust_resnet18_qk_noisy_q16_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,16,1,1024,,8274,10,0.001,16,1982.6181623640005,0.019775035416683726,0.5833333333333334,0.5841750841750841,0.5833333333333333,0.5822890559732665,0.6158333333333333,2026-04-15T11:06:59.124617
solar_dust_resnet18_qk_noisy_q16_d1_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,16,1,1024,,8274,10,0.001,16,2008.597175636096,0.020052004094107942,0.48333333333333334,0.3706896551724138,0.48333333333333334,0.33948863636363635,0.43333333333333335,2026-04-15T11:07:50.729865
solar_dust_resnet18_qk_noisy_q16_d3_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,16,3,1024,,8370,10,0.001,16,4894.421540170908,0.05089242449882268,0.5,0.25,0.5,0.3333333333333333,0.5261111111111111,2026-04-15T12:29:19.323837
solar_dust_resnet18_qk_noisy_q16_d3_42,ablation,42,solar_dust,resnet18,qk_noisy,qiskit,classification,emulation,16,3,1024,,8370,10,0.001,16,4951.56434926996,0.05157775324104625,0.5,0.25,0.5,0.3333333333333333,0.5422222222222222,2026-04-15T12:31:07.597895
